Ratio-K-0.12-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
recursive,1024.0,0.0,0.718421052631579,0.923201754385965,0.9191869286107105,0.9402328624759082
fixed_size,512.0,200.0,0.7020833333333333,0.8904962370421895,0.8627835774252317,0.9219730630840892
recursive,1024.0,200.0,0.705,0.9128306878306878,0.8955901258439098,0.9454839092934968
semantic_chunks_95,,,0.6625,0.9099999999999999,0.9092857142857144,0.9417990203155643
fixed_size,2048.0,200.0,0.7,0.9388888888888889,0.9388888888888889,0.9411381499972531
recursive,512.0,200.0,0.6966666666666667,0.8900088145832841,0.8524928318071534,0.8930914692035218
recursive,2048.0,200.0,0.7222222222222222,0.9379797979797979,0.9360849567099567,0.9341270046921537
recursive,2048.0,0.0,0.7166666666666667,0.9545454545454545,0.9545454545454545,0.9581282845820633
markdown_header_parent,,,0.6555555555555556,0.8576250465221052,0.8339007337245459,0.8622404086078335
fixed_size,1024.0,200.0,0.7333333333333333,0.9036654135338346,0.9036654135338346,0.93410616106132
fixed_size,1024.0,0.0,0.7266666666666667,0.9084365325077399,0.9082610939112487,0.9467108931495364
fixed_size,512.0,0.0,0.7033333333333334,0.8992528413581045,0.8801765513315353,0.9243614211014434
markdown_header,,,0.6777777777777778,0.8940802824626355,0.8840516819781525,0.9183042702531725
fixed_size,2048.0,0.0,0.7125,0.921111111111111,0.921111111111111,0.9446314168532861
recursive,512.0,0.0,0.6797619047619048,0.8760650531795011,0.8367886631949044,0.8842718658946765
semantic_chunks_90,,,0.6392857142857143,0.8429641812865498,0.837064079925922,0.9365091835472077
