Experiment@5,MAP,Recall
markdown-header-recursive-512-0,0.8513888888670487,0.911111111111111
fixed-size-2048-0,0.6398611110846191,0.775
markdown-header-recursive-1024-0,0.8499999999741666,1.0
markdown-header-recursive-2048-200,0.8430555555351735,0.925925925925926
recursive-1024-200,0.68347222219686,0.8
fixed-size-512-0,0.7745833333060729,0.72
fixed-size-1024-0,0.7495833333090798,0.9
markdown-header-recursive-1024-200,0.9816666666435694,1.0
markdown-header-recursive-2048-0,0.9333333332961666,1.0
fixed-size-1024-200,0.44499999998025,0.75
markdown-header,0.7941666666403124,0.75
recursive-2048-0,0.8483333332922915,0.8166666666666668
fixed-size-2048-200,0.7001388888664225,0.725
recursive-512-200,0.7088888888594954,0.6733333333333333
recursive-2048-200,0.7151388888687835,1.0
recursive-1024-0,0.6633333333026528,0.65
markdown-header-parent,0.8716666666331111,1.0
fixed-size-512-200,0.7566666666419446,0.875
semantic-chunks-95-recursive-2048-200,0.31277777776731014,0.6
semantic-chunks-90,0.5599999999713194,0.6749999999999999
semantic-chunks-95,0.50499999997125,0.6333333333333333
recursive-512-0,0.5327777777494214,0.6333333333333333
markdown-header-recursive-512-200,0.7387499999807813,0.9357142857142857
