Ratio-K-0.05-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
fixed_size,512.0,200.0,0.8774999999999998,0.5584781275058209,0.5464002790663052,0.8784681382600643
semantic_chunks_90,,,0.8416666666666666,0.6161184210526316,0.6119517543859649,0.915728510180317
recursive,2048.0,0.0,0.875,0.6253535353535354,0.6253535353535354,0.9089034752934593
recursive,1024.0,200.0,0.9,0.5768620268620269,0.5622132173382174,0.9168901437579077
semantic_chunks_95,,,1.0,0.6616666666666668,0.6616666666666668,0.8884222054617885
fixed_size,1024.0,200.0,0.90625,0.5972431077694236,0.5972431077694236,0.8891696869767337
recursive,2048.0,200.0,0.9375,0.6271717171717172,0.6271717171717172,0.9089061875414275
fixed_size,1024.0,0.0,0.9166666666666664,0.5656037151702787,0.5656037151702787,0.905584864517543
recursive,1024.0,0.0,0.9,0.5866295546558705,0.5866295546558705,0.9020277270259236
fixed_size,2048.0,0.0,0.9166666666666664,0.5600000000000002,0.5600000000000002,0.913378662343273
recursive,512.0,200.0,0.85,0.551682509991736,0.5318317172454876,0.8386636943220527
recursive,512.0,0.0,0.8555555555555557,0.5528691141819083,0.5344389431546783,0.8421479549059094
fixed_size,512.0,0.0,0.8875,0.5470138799086166,0.5417902146849514,0.8833783396036706
markdown_header,,,0.9642857142857142,0.5773645961881256,0.5773645961881256,0.8984493038385161
markdown_header_parent,,,0.9571428571428571,0.5645601090086385,0.5645601090086385,0.8977573607057703
fixed_size,2048.0,200.0,0.875,0.6253535353535354,0.6253535353535354,0.9085744083544013
